listing_id,price,log_price,vehicle_brand,vehicle_model,vehicle_model_year,vehicle_age,vehicle_mileage_km,is_mileage_missing,vehicle_engine_cc,is_engine_cc_missing,vehicle_fuel_type,vehicle_transmission,vehicle_color,vehicle_condition,is_plate_number,brand_category,province,location_tier,seller_type,initial_price,price_drop_amount,has_price_drop,price_increase_amount,has_price_increase,days_on_market,view_velocity,has_full_option,is_urgent_sale,scraped_at
13338627,33500.0,10.419330568113901,Ford,Everest,2018,8,100000.0,1,2000.0,1,Diesel,Automatic,Black,used,1,Mass_Market,Phnom Penh,Tier_1,store,33500.0,0.0,0,0.0,0,151.8,0.0,0,1,2026-08-25 10:22:29.335331+00
13849081,21500.0,9.975854724662028,Ford,Everest,2017,9,100000.0,1,2000.0,1,Diesel,Automatic,Red,used,1,Mass_Market,Phnom Penh,Tier_1,store,21500.0,0.0,0,0.0,0,20.5,0.0,0,1,2026-08-25 10:26:09.433298+00
13761554,41700.0,10.638280388314705,Ford,Everest,2022,4,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Phnom Penh,Tier_1,individual,41700.0,0.0,0,0.0,0,45.7,0.0,0,0,2026-08-27 12:11:36.98881+00
13914040,38000.0,10.545367754151743,Ford,Everest,2022,4,100000.0,1,2000.0,1,Petrol,Automatic,Black,used,1,Mass_Market,Pailin,Tier_3,individual,38000.0,0.0,0,0.0,0,0.0,0.0,1,0,2026-08-22 02:44:46.737203+00
13257893,34800.0,10.457401400981889,Ford,Everest,2020,6,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Phnom Penh,Tier_1,store,36900.0,2100.0,1,0.0,0,173.8,0.0,1,0,2026-08-27 12:13:29.782917+00
13915716,63800.0,11.063524143191238,Ford,Everest,2026,0,100000.0,1,2000.0,1,Diesel,Automatic,Black,used,1,Mass_Market,Phnom Penh,Tier_1,store,63800.0,0.0,0,0.0,0,4.9,0.0,0,0,2026-08-27 12:10:03.376165+00
13378072,21900.0,9.994287576862567,Ford,Everest,2017,9,100000.0,1,2000.0,1,Diesel,Automatic,Red,used,1,Mass_Market,Phnom Penh,Tier_1,store,21900.0,0.0,0,0.0,0,141.5,0.0,0,1,2026-08-25 10:26:36.076069+00
13885249,33000.0,10.404293143019792,Ford,Everest,2019,7,100000.0,1,2000.0,1,Diesel,Automatic,White,used,0,Mass_Market,Phnom Penh,Tier_1,individual,33500.0,500.0,1,0.0,0,13.0,0.0,1,0,2026-08-27 12:05:49.094794+00
13275218,21900.0,9.994287576862567,Ford,Everest,2017,9,100000.0,1,2000.0,1,Diesel,Automatic,Red,used,1,Mass_Market,Phnom Penh,Tier_1,store,21900.0,0.0,0,0.0,0,169.1,0.0,0,1,2026-08-27 12:17:01.947527+00
13907721,49900.0,10.817796321618971,Ford,Everest,2027,0,100000.0,1,2000.0,1,Diesel,Automatic,White,new,0,Mass_Market,Phnom Penh,Tier_1,store,49900.0,0.0,0,0.0,0,5.6,0.0,0,0,2026-08-26 03:07:18.17913+00
